cosine_distance
0.537131
0.298154
0.544893
0.844049
0.645855
0.585017
0.585747
0.386098
0.655814
0.810341
0.328198
0.538714
0.14415
0.945162
0.395389
0.357952
0.439424
0.204355
0.46972
0.896435
0.471354
0.422786
0.353923
0.362949
0.231296
0.425111
0.484421
0.651063
0.552956
0.893
0.488497
0.375329
0.752648
0.324568
0.717842
0.509478
0.752091
0.845355
0.48595
0.607467
0.249085
0.771478
0.733211
0.10806
0.715701
0.281902
0.447815
0.250557
0.953122
0.411494
0.331847
0.520388
0.434078
0.504615
0.435903
0.476546
0.878077
0.549455
0.353945
0.421795
0.466148
0.570419
0.76665
0.86634
0.633307
0.819197
0.687292
0.351838
0.416602
0.566756
0.687193
0.391385
0.830246
0.492032
0.766181
0.38339
0.413362
0.477528
0.300859
0.857849
0.296246
0.281179
0.585495
0.565417
0.85857
0.394062
0.307481
0.644299
0.39971
0.27246
0.77284
0.329047
0.607249
0.606167
0.238573
0.515356
0.566497
0.67069
0.323413
0.767051
0.257879
0.709391
0.640615
0.427429
0.263178
0.207123
0.386601
0.38608
0.463564
0.387849
0.344523
0.171535
0.241585
0.687333
0.654996
0.53683
0.586344
0.502442
0.384515
0.541602
0.719432
0.243223
0.242853
0.305022
0.226222
0.631779
0.210349
0.65535
0.343425
0.578151
0.540273
0.366299
0.60079
0.329379
0.168642
0.868201
0.447747
0.377585
0.339897
0.548949
0.327862
0.453614
0.390302
0.463848
0.486448
0.435593
0.792008
0.408527
0.328287
0.736538
0.607841
0.280886
0.407659
0.357569
0.397379
0.859218
0.599294
0.796237
0.261724
0.266719
0.209369
0.426086
0.81461
0.233783
0.215739
0.451866
0.274051
0.427905
0.723049
0.441736
0.523162
0.600295
0.515886
0.284652
0.73599
0.493639
0.341722
0.490895
0.392849
0.298216
0.849234
0.573805
0.172347
0.719595
0.45909
0.787166
0.745906
0.492198
0.896548
0.302839
0.697291
0.3527
0.359879
0.522719
0.554993
0.333662
0.456839
0.489507
0.416203
0.377811
0.316761
0.462014
0.360212
0.6637
0.301995
0.562541
0.65186
0.293778
0.228162
0.949463
0.334832
0.546838
0.283364
0.956461
0.720684
